Gemeinde;AGS;Mietenstufe
Ruppertshofen;8136061;2
Rust;8317114;1
Rutesheim;8115042;5
Sachsenheim;8118076;4
Salach;8117042;2
Salem;8435052;3
Sandhausen;8226076;4
Sankt Blasien;8337097;2
Sankt Georgen im Schwarzwald;8326052;2
Sankt Johann;8415093;2
Sankt Leon-Rot;8226103;3
Sankt Märgen;8315094;3
Sankt Peter;8315095;3
Sasbach;8316038;2
Sasbach;8317116;1
Sasbachwalden;8317118;1
Satteldorf;8127073;1
Sauldorf;8437123;1
Schallbach;8336075;3
Schallstadt;8315098;3
Schechingen;8136062;2
Scheer;8437101;1
Schefflenz;8225115;1
Schelklingen;8425108;2
Schemmerhofen;8426134;1
Schenkenzell;8325050;1
Schiltach;8325051;1
Schlaitdorf;8116063;3
Schlat;8117043;2
Schliengen;8336078;3
Schlier;8436069;2
Schlierbach;8117044;2
Schluchsee;8315102;3
Schnürpflingen;8425110;2
Schömberg;8235065;2
Schömberg;8417057;1
Schonach im Schwarzwald;8326055;2
Schönaich;8115044;4
Schönau im Schwarzwald;8336079;3
Schönau;8226080;2
Schönbrunn;8226081;2
Schönenberg;8336080;3
Schöntal;8126072;1
Schönwald im Schwarzwald;8326054;2
Schopfheim;8336081;3
Schopfloch;8237061;1
Schorndorf;8119067;4
Schramberg;8325053;1
Schriesheim;8226082;4
Schrozberg;8127075;1
Schuttertal;8317121;1
Schutterwald;8317122;1
Schwäbisch Gmünd;8136065;3
Schwäbisch Hall;8127076;2
Schwaigern;8125086;3
Schwaikheim;8119068;2
Schwanau;8317150;1
Schwarzach;8225116;1
Schwendi;8426108;1
Schwenningen;8437102;1
Schwetzingen;8226084;4
Schwieberdingen;8118067;5
Schwörstadt;8336082;3
Seckach;8225091;1
Seebach;8317126;1
Seekirch;8426109;1
Seelbach;8317127;1
Seewald;8237073;1
Seitingen-Oberflacht;8327055;1
Sersheim;8118068;4
Setzingen;8425112;2
Sexau;8316039;2
Siegelsbach;8125087;2
Sigmaringen;8437104;2
Sigmaringendorf;8437105;1
Simmersfeld;8235066;2
Simmozheim;8235067;2
Simonswald;8316042;2
Sindelfingen;8115045;5
Singen;8335075;4
Sinsheim;8226085;3
Sinzheim;8216049;2
Sipplingen;8435053;4
Sölden;8315107;3
Sonnenbühl;8415091;2
Sontheim an der Brenz;8135031;1
Spaichingen;8327046;3
Spechbach;8226086;2
Spiegelberg;8119069;2
Spraitbach;8136066;2
Staig;8425138;2
Starzach;8416050;4
Staufen im Breisgau;8315108;3
Stegen;8315109;3
Steinach;8317129;1
Steinen;8336084;5
Steinenbronn;8115046;4
Steinhausen an der Rottum;8426113;1
Steinheim am Albuch;8135032;1
Steinheim an der Murr;8118070;3
Steinmauern;8216052;2
Steißlingen;8335077;2
Sternenfels;8236061;2
Stetten;8435054;4
Stetten am kalten Markt;8437107;1
Stimpfach;8127104;1
Stockach;8335079;3
Stödtlen;8136068;2
Straßberg;8417063;1
Straubenhardt;8236072;2
Stühlingen;8337106;2
Stutensee;8215109;3
Stuttgart;8111000;6
Sulz am Neckar;8325057;1
Sulzbach an der Murr;8119075;2
Sulzbach-Laufen;8127079;1
Sulzburg;8315111;3
